iter	Passed	Remaining
0	140	140476
1	143	71491
2	165	55097
3	174	43535
4	177	35371
5	180	29840
6	182	25830
7	187	23263
8	192	21187
9	199	19729
10	202	18166
11	205	16903
12	207	15723
13	213	15036
14	215	14159
15	217	13391
16	227	13149
17	229	12495
18	254	13144
19	265	12995
20	274	12785
21	276	12297
22	278	11837
23	289	11776
24	291	11378
25	293	10997
26	297	10707
27	300	10419
28	312	10467
29	316	10230
30	319	9983
31	321	9725
32	323	9472
33	328	9338
34	330	9110
35	331	8888
36	333	8683
37	344	8716
38	350	8631
39	354	8519
40	359	8401
41	361	8240
42	363	8081
43	365	7933
44	374	7944
45	379	7862
46	383	7782
47	386	7665
48	388	7538
49	390	7414
50	395	7356
51	401	7325
52	406	7259
53	409	7176
54	411	7076
55	413	6975
56	415	6875
57	421	6843
58	424	6768
59	426	6682
60	430	6629
61	441	6674
62	443	6588
63	444	6506
64	448	6445
65	450	6373
66	452	6301
67	484	6640
68	487	6577
69	502	6676
70	507	6642
71	510	6582
72	514	6533
73	516	6462
74	518	6394
75	522	6356
76	525	6304
77	529	6258
78	533	6218
79	545	6275
80	548	6222
81	553	6193
82	554	6130
83	557	6080
84	559	6018
85	561	5962
86	562	5906
87	572	5932
88	577	5912
89	582	5885
90	585	5853
91	587	5801
92	589	5747
93	591	5699
94	594	5668
95	608	5731
96	613	5707
97	616	5669
98	618	5625
99	620	5581
100	621	5534
101	627	5523
102	633	5518
103	636	5479
104	640	5455
105	642	5422
106	645	5390
107	647	5349
108	649	5307
109	651	5272
110	659	5284
111	662	5252
112	665	5224
113	669	5205
114	672	5174
115	675	5144
116	676	5105
117	678	5069
118	682	5056
119	684	5022
120	687	4990
121	695	5008
122	701	5000
123	705	4981
124	706	4948
125	708	4913
126	710	4885
127	715	4872
128	717	4843
129	720	4819
130	722	4789
131	725	4770
132	727	4743
133	729	4714
134	731	4684
135	732	4654
136	734	4624
137	735	4594
138	739	4583
139	741	4557
140	746	4549
141	748	4521
142	750	4495
143	755	4489
144	757	4464
145	759	4440
146	762	4422
147	763	4398
148	767	4380
149	769	4362
150	771	4337
151	772	4310
152	773	4284
153	775	4258
154	776	4232
155	777	4207
156	778	4182
157	782	4167
158	784	4149
159	785	4125
160	786	4099
161	787	4075
162	789	4052
163	790	4029
164	791	4006
165	793	3985
166	796	3971
167	797	3951
168	799	3930
169	800	3908
170	801	3887
171	803	3866
172	804	3845
173	805	3824
174	821	3870
175	827	3876
176	830	3859
177	831	3840
178	833	3820
179	834	3802
180	836	3784
181	837	3765
182	840	3750
183	842	3735
184	844	3718
185	845	3700
186	847	3682
187	848	3665
188	850	3650
189	854	3642
190	856	3628
191	858	3614
192	860	3597
193	861	3579
194	862	3562
195	864	3545
196	866	3533
197	869	3522
198	871	3507
199	872	3490
200	873	3473
201	875	3457
202	876	3441
203	877	3425
204	879	3409
205	882	3400
206	884	3387
207	885	3371
208	886	3356
209	888	3343
210	891	3332
211	892	3318
212	895	3308
213	898	3298
214	900	3287
215	901	3273
216	903	3259
217	904	3244
218	905	3230
219	907	3217
220	910	3209
221	913	3202
222	915	3189
223	917	3177
224	919	3165
225	927	3177
226	929	3165
227	931	3155
228	934	3145
229	939	3146
230	943	3140
231	945	3129
232	946	3117
233	949	3109
234	953	3104
235	965	3124
236	970	3125
237	975	3123
238	977	3113
239	979	3101
240	985	3103
241	989	3099
242	991	3087
243	993	3077
244	995	3067
245	1002	3072
246	1008	3073
247	1010	3062
248	1012	3053
249	1014	3043
250	1020	3044
251	1021	3033
252	1023	3022
253	1039	3051
254	1043	3048
255	1046	3041
256	1048	3032
257	1050	3021
258	1052	3011
259	1055	3004
260	1060	3002
261	1081	3045
262	1088	3050
263	1091	3043
264	1093	3032
265	1095	3021
266	1097	3013
267	1102	3012
268	1105	3003
269	1109	3000
270	1125	3026
271	1126	3016
272	1129	3007
273	1133	3002
274	1135	2992
275	1136	2981
276	1138	2971
277	1148	2983
278	1155	2985
279	1157	2976
280	1168	2991
281	1171	2981
282	1180	2992
283	1185	2988
284	1187	2979
285	1190	2972
286	1194	2968
287	1197	2961
288	1199	2951
289	1201	2940
290	1212	2955
291	1216	2949
292	1218	2939
293	1225	2942
294	1228	2934
295	1230	2926
296	1232	2916
297	1233	2906
298	1236	2898
299	1248	2913
300	1258	2922
301	1261	2916
302	1265	2911
303	1268	2904
304	1280	2918
305	1282	2909
306	1285	2902
307	1288	2894
308	1293	2891
309	1297	2887
310	1299	2878
311	1300	2868
312	1302	2859
313	1307	2856
314	1313	2857
315	1315	2847
316	1317	2838
317	1319	2830
318	1322	2822
319	1324	2814
320	1326	2805
321	1327	2795
322	1329	2785
323	1330	2776
324	1334	2770
325	1335	2762
326	1338	2755
327	1340	2746
328	1342	2737
329	1343	2728
330	1345	2720
331	1348	2712
332	1350	2704
333	1352	2696
334	1353	2687
335	1355	2677
336	1356	2668
337	1357	2658
338	1358	2649
339	1360	2640
340	1366	2639
341	1367	2631
342	1369	2622
343	1370	2613
344	1371	2604
345	1373	2595
346	1374	2586
347	1377	2580
348	1379	2573
349	1381	2565
350	1382	2557
351	1384	2548
352	1385	2540
353	1387	2531
354	1390	2525
355	1393	2520
356	1395	2512
357	1397	2506
358	1398	2497
359	1400	2489
360	1401	2480
361	1402	2472
362	1405	2465
363	1407	2459
364	1409	2452
365	1410	2443
366	1412	2435
367	1413	2427
368	1414	2419
369	1415	2410
370	1417	2402
371	1419	2396
372	1422	2390
373	1423	2383
374	1425	2375
375	1426	2367
376	1427	2358
377	1428	2351
378	1430	2343
379	1431	2335
380	1433	2329
381	1436	2323
382	1437	2316
383	1439	2308
384	1440	2300
385	1441	2293
386	1442	2285
387	1444	2278
388	1445	2270
389	1448	2265
390	1451	2260
391	1452	2252
392	1453	2245
393	1455	2238
394	1456	2230
395	1457	2223
396	1458	2215
397	1459	2208
398	1463	2205
399	1465	2198
400	1467	2191
401	1468	2184
402	1469	2177
403	1471	2170
404	1472	2163
405	1473	2156
406	1474	2148
407	1477	2144
408	1480	2138
409	1481	2131
410	1483	2125
411	1484	2118
412	1485	2111
413	1487	2105
414	1490	2101
415	1493	2096
416	1495	2090
417	1496	2084
418	1498	2077
419	1499	2070
420	1500	2063
421	1501	2057
422	1504	2051
423	1507	2048
424	1509	2041
425	1511	2036
426	1513	2031
427	1515	2025
428	1516	2018
429	1518	2013
430	1521	2008
431	1523	2002
432	1525	1997
433	1527	1991
434	1528	1985
435	1529	1978
436	1530	1972
437	1532	1966
438	1535	1962
439	1537	1956
440	1538	1950
441	1540	1944
442	1541	1938
443	1542	1931
444	1544	1925
445	1545	1919
446	1547	1914
447	1550	1909
448	1552	1904
449	1553	1898
450	1555	1893
451	1556	1887
452	1558	1881
453	1559	1875
454	1561	1870
455	1564	1866
456	1566	1861
457	1568	1856
458	1569	1850
459	1571	1844
460	1572	1839
461	1575	1834
462	1578	1830
463	1580	1825
464	1581	1820
465	1583	1814
466	1584	1808
467	1585	1802
468	1587	1797
469	1588	1791
470	1591	1787
471	1593	1782
472	1594	1777
473	1596	1771
474	1597	1765
475	1598	1759
476	1599	1754
477	1601	1748
478	1602	1742
479	1604	1738
480	1607	1734
481	1608	1728
482	1610	1723
483	1611	1717
484	1612	1712
485	1613	1706
486	1615	1701
487	1616	1695
488	1619	1692
489	1621	1687
490	1623	1682
491	1624	1677
492	1626	1672
493	1627	1666
494	1628	1661
495	1629	1656
496	1631	1650
497	1634	1647
498	1635	1642
499	1637	1637
500	1641	1635
501	1643	1630
502	1644	1624
503	1645	1619
504	1647	1615
505	1649	1610
506	1651	1605
507	1652	1600
508	1654	1596
509	1656	1591
510	1657	1586
511	1659	1582
512	1662	1578
513	1665	1574
514	1667	1570
515	1669	1566
516	1671	1561
517	1673	1557
518	1678	1555
519	1679	1550
520	1681	1546
521	1682	1541
522	1684	1536
523	1685	1530
524	1686	1525
525	1689	1522
526	1692	1518
527	1693	1513
528	1694	1508
529	1696	1504
530	1697	1499
531	1698	1494
532	1699	1489
533	1701	1484
534	1703	1480
535	1706	1476
536	1707	1472
537	1708	1467
538	1710	1462
539	1711	1457
540	1712	1452
541	1713	1448
542	1715	1443
543	1717	1439
544	1720	1436
545	1721	1431
546	1722	1426
547	1724	1422
548	1725	1417
549	1726	1412
550	1728	1408
551	1729	1403
552	1731	1400
553	1734	1396
554	1735	1391
555	1737	1387
556	1739	1383
557	1740	1378
558	1741	1374
559	1743	1370
560	1746	1366
561	1749	1363
562	1751	1359
563	1752	1355
564	1754	1350
565	1755	1346
566	1757	1341
567	1758	1337
568	1761	1334
569	1763	1330
570	1764	1326
571	1766	1321
572	1767	1317
573	1768	1312
574	1770	1308
575	1771	1303
576	1772	1299
577	1775	1296
578	1777	1292
579	1779	1288
580	1780	1284
581	1781	1279
582	1783	1275
583	1784	1271
584	1785	1266
585	1786	1262
586	1788	1258
587	1791	1255
588	1793	1251
589	1794	1247
590	1795	1242
591	1797	1238
592	1798	1234
593	1799	1230
594	1801	1225
595	1803	1222
596	1805	1218
597	1807	1214
598	1808	1210
599	1810	1206
600	1811	1202
601	1812	1198
602	1814	1194
603	1815	1190
604	1819	1187
605	1821	1184
606	1822	1180
607	1824	1176
608	1825	1171
609	1826	1167
610	1827	1163
611	1829	1159
612	1831	1156
613	1833	1152
614	1835	1149
615	1837	1145
616	1838	1141
617	1840	1137
618	1841	1133
619	1844	1130
620	1847	1127
621	1849	1123
622	1851	1120
623	1854	1117
624	1855	1113
625	1857	1109
626	1860	1106
627	1862	1103
628	1865	1100
629	1866	1096
630	1867	1092
631	1868	1088
632	1870	1084
633	1871	1080
634	1874	1077
635	1876	1074
636	1878	1070
637	1879	1066
638	1880	1062
639	1882	1058
640	1883	1054
641	1884	1051
642	1886	1047
643	1889	1044
644	1891	1040
645	1892	1037
646	1893	1033
647	1895	1029
648	1896	1025
649	1897	1021
650	1899	1018
651	1901	1014
652	1904	1012
653	1906	1008
654	1907	1004
655	1909	1001
656	1910	997
657	1911	993
658	1914	990
659	1916	987
660	1919	984
661	1921	981
662	1923	977
663	1925	974
664	1926	970
665	1928	967
666	1931	964
667	1933	961
668	1936	957
669	1937	954
670	1938	950
671	1940	947
672	1945	945
673	1947	942
674	1949	938
675	1951	935
676	1953	931
677	1954	928
678	1955	924
679	1956	920
680	1959	917
681	1961	914
682	1962	910
683	1964	907
684	1965	904
685	1967	900
686	1968	896
687	1969	893
688	1972	890
689	1974	887
690	1976	883
691	1977	880
692	1979	877
693	1981	873
694	1987	872
695	1990	869
696	1991	865
697	1993	862
698	1995	859
699	1996	855
700	2003	854
701	2006	851
702	2009	848
703	2011	845
704	2014	843
705	2017	839
706	2018	836
707	2020	833
708	2022	829
709	2023	826
710	2024	822
711	2025	819
712	2028	816
713	2031	813
714	2032	810
715	2033	806
716	2035	803
717	2036	799
718	2037	796
719	2038	792
720	2040	789
721	2043	786
722	2045	783
723	2046	780
724	2048	776
725	2049	773
726	2050	770
727	2051	766
728	2053	763
729	2054	759
730	2057	756
731	2059	754
732	2060	750
733	2062	747
734	2063	743
735	2064	740
736	2066	737
737	2067	733
738	2068	730
